fecha;hora;numero incidencia;localizacion;ubicacion;carretera;eje;tipo via;tipo accidente;tipo colision;vehiculos implicados;motocicletas implicadas;pesados implicados;estado del firme;circulacion;heridos leves;heridos graves;victimas mortales;descripcion
01/01/2021 0:00;30/12/1900 1:17;20210101-0001;18RH11;TÚNEL;A5;18RH;RAMAL;Salida de via;COLISIÓN LATERAL;1;0;0;Seco y limpio;FLUIDA;0;0;0;ACCIDENTE DE VEHICULO CONTRA BORDILLO, ROMPE LA RUEDA Y SE QUEDA BLOQUEADO Y CERRADO, ES DE APLICACIÓN DE MOVIL, SE LE SACA AL PUENTE DE SAN ISDRO CON C-21 Y LOS OCUPANTES LOS SACA POLICIA.
02/01/2021 0:00;14:05:08;20210102-0018;22RC00;SUPERFICIE;M30;22RC;RAMAL;Otros;Otro;1;0;0;Seco y limpio;FLUIDA;0;0;0;Señalización de daños sin controlar(7 hitos H75 y 2 bases de hito H75)linea separacion balizamiento de carriles dicho ramal.Se retiran los dañados.
02/01/2021 0:00;16:34:52;20210102-0025;28XC80;SUPERFICIE;M30;XC;TRONCO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Seco y limpio;FLUIDA;0;0;0;Señalización de accidente por alcance entre 2 vehículos sin heridos, policía municipal se encuentra en el pk, retirado por las grua de los seguros de los usuarios.
02/01/2021 0:00;21:39:24;20210102-0037;12RV65;SUPERFICIE;M30;12RV;RAMAL;Colision entre vehiculos;COLISIÓN POR ALCANCE;3;0;0;Seco y limpio;FLUIDA;1;0;0;Aviso a centro de control de accidente múltiple por alcance
03/01/2021 0:00;14:21:17;20210103-0023;09XL90;SUPERFICIE;M30;XL;VIA DE SERVICIO;Colision entre vehiculos;COLISIÓN POR ALCANCE;3;0;0;Seco y limpio;DENSA;1;0;0;ACCIDENTE POR ALCANCE EN CARRIL DERECHO CON 1 HERIDO TRASLADADO AL HOSPITAL FUNDACION JIMENEZ DIAZ, SIN DAÑOS AL PATRIMONIO. LOS VEHICULOS SE RETIRAN POR SUS MEDIOS.
04/01/2021 0:00;14:47:20;20210104-0014;04FL10;TÚNEL;A5;FL;TRONCO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;1;0;Seco y limpio;FLUIDA;1;0;0;ACCIDENTE DE MOTORISTA POR ALCANCE CONTRA UNA FURGONETA, EL MOTORISTA CAE AL SUELO Y LA FURGONETA SE VA DEL PUNTO. EL MOTORISTA ES ATENDIDO POR SAMUR Y DADO DE ALTA EN EL PUNTO, LA MOTO LA SACAMOS A LA CALLE DANTE CON C-21.
04/01/2021 0:00;20:12:21;20210104-0027;02XL10;SUPERFICIE;M30;XL;VIA DE SERVICIO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Seco y limpio;DENSA;0;0;0;ACCIDENTE EN CARRIL IZQUIERDO, SEÑALIZAMOS HASTA RETIRADA DE ESTOS POR GRUAS PROPIAS
04/01/2021 0:00;22:23:32;20210104-0032;32RK10;SUPERFICIE;M11;32RK;RAMAL;Salida de via;COLISIÓN FRONTAL;1;0;0;Seco y limpio;FLUIDA;0;0;0;SALIDA DE VIA CON DAÑOS AL PATRIMONIO, SE CORTA RAMAL. EL CONDUCTOR NO SE ENCONTRABA EN EL VEHICULO, SOLO EL ACOMPAÑANTE. LA GRUA DE MOVILIDAD RETIRA EL VEHÍCULO Y SE LIMPIA VERTIDO. LA POLICÍA SACA AL OCUPANTE Y FINALIZAMOS.
05/01/2021 0:00;10:49:28;20210105-0014;32RR10;SUPERFICIE;M30;32RR;RAMAL;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Seco y limpio;FLUIDA;0;0;0;Accidente de chapa fuera de zona de Arturo Soria en el cambio de sentido entre una furgoneta y un coche, empiezan a discutir y se niegan a mover los vehículos, señalización espera de policía a la llegada de la cual yo me retiro
05/01/2021 0:00;10:59:06;20210105-0015;99WL35;SUPERFICIE;M30;99WL;TABLERO;Colision entre vehiculos;COLISIÓN LATERAL;2;0;0;Seco y limpio;FLUIDA;0;0;0;Señalización de accidente por alcance lateral entre 2 vehículos sin heridos, los usuarios hacen el parte amistoso y se retiran por sus medios.
